timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp;last_rain_event_timestamp
10/02/2021 19:10:00;10/02/2021;19:10:00;0.0;180;999.6;17.1;0.0;4.3;0.88;;;0.0;2.5;;;;;;59.8;225.0;;;;3.2;2.8;4.3;Night time/Nessun fenomeno;3.5;;;;;0.0;0.0;;;;;;;;;
10/02/2021 19:15:00;10/02/2021;19:15:00;0.0;180;999.6;17.1;0.0;4.3;0.88;;;0.0;2.5;;;;;;59.8;225.0;;;;3.3;2.8;4.3;Night time/Nessun fenomeno;3.6;;;;;0.0;0.0;;;;;;;;;
10/02/2021 19:20:00;10/02/2021;19:20:00;0.0;180;999.7;17.1;0.0;4.3;0.88;;;0.0;2.5;;;;;;59.8;225.0;;;;3.2;2.8;4.3;Night time/Nessun fenomeno;3.5;;;;;0.0;0.0;;;;;;;;;
10/02/2021 19:25:00;10/02/2021;19:25:00;0.0;180;999.8;17.1;0.0;4.2;0.88;;;0.0;2.4;;;;;;59.8;225.0;;;;3.1;2.6;4.2;Night time/Nessun fenomeno;3.4;;;;;0.0;0.0;;;;;;;;;
10/02/2021 19:30:00;10/02/2021;19:30:00;0.0;180;999.8;17.1;0.0;4.2;0.88;;;0.0;2.4;;;;;;59.8;225.0;;;;3.1;2.6;4.2;Night time/Nessun fenomeno;3.4;;;;;0.0;0.0;;;;;;;;;
10/02/2021 19:35:00;10/02/2021;19:35:00;0.0;180;999.8;17.1;0.0;4.1;0.88;;;0.0;2.3;;;;;;59.8;225.0;;;;3.0;2.6;4.1;Night time/Nessun fenomeno;3.4;;;;;0.0;0.0;;;;;;;;;
10/02/2021 19:40:00;10/02/2021;19:40:00;0.0;180;999.9;17.1;0.0;4.2;0.88;;;0.0;2.4;;;;;;59.8;225.0;;;;3.1;2.7;4.2;Night time/Nessun fenomeno;3.5;;;;;0.0;0.0;;;;;;;;;
10/02/2021 19:45:00;10/02/2021;19:45:00;0.0;180;1000.0;17.1;0.0;4.3;0.88;;;0.0;2.5;;;;;;59.8;225.0;;;;3.2;2.8;4.3;Night time/Nessun fenomeno;3.5;;;;;0.0;0.0;;;;;;;;;
10/02/2021 19:50:00;10/02/2021;19:50:00;0.0;180;1000.0;17.1;0.0;4.2;0.88;;;0.0;2.4;;;;;;59.8;225.0;;;;3.1;2.7;4.2;Night time/Nessun fenomeno;3.5;;;;;0.0;0.0;;;;;;;;;
10/02/2021 20:00:00;10/02/2021;20:00:00;1.0259179265658747;180;1000.1;17.1;0.0;4.3;0.88;;;3.4557235421166306;2.5;;;;;;59.8;225.0;;;;3.0;2.8;4.3;Night time/Nessun fenomeno;3.5;;;;;1.9;0.0;;;;;;;;;
10/02/2021 20:05:00;10/02/2021;20:05:00;0.8639308855291576;180;1000.2;17.1;0.0;4.4;0.88;;;3.4557235421166306;2.6;;;;;;59.8;225.0;;;;3.3;2.9;4.4;Night time/Nessun fenomeno;3.7;;;;;1.6;0.0;;;;;;;;;
10/02/2021 20:10:00;10/02/2021;20:10:00;0.05399568034557235;180;1000.2;17.1;0.0;4.3;0.88;;;3.4557235421166306;2.5;;;;;;59.8;225.0;;;;3.3;2.8;4.3;Night time/Nessun fenomeno;3.6;;;;;0.1;0.0;;;;;;;;;
10/02/2021 20:15:00;10/02/2021;20:15:00;0.0;180;1000.3;17.1;0.0;4.2;0.88;;;3.4557235421166306;2.4;;;;;;59.8;225.0;;;;3.1;2.6;4.2;Night time/Nessun fenomeno;3.4;;;;;0.0;0.0;;;;;;;;;
10/02/2021 20:20:00;10/02/2021;20:20:00;0.0;180;1000.3;17.1;0.0;4.0;0.88;;;3.4557235421166306;2.2;;;;;;59.8;225.0;;;;2.9;2.4;4.0;Night time/Nessun fenomeno;3.3;;;;;0.0;0.0;;;;;;;;;
10/02/2021 20:25:00;10/02/2021;20:25:00;0.0;180;1000.4;17.1;0.0;3.9;0.88;;;3.4557235421166306;2.1;;;;;;59.8;225.0;;;;2.8;2.3;3.9;Night time/Nessun fenomeno;3.2;;;;;0.0;0.0;;;;;;;;;
10/02/2021 20:30:00;10/02/2021;20:30:00;0.0;180;1000.4;17.1;0.0;4.1;0.88;;;3.4557235421166306;2.3;;;;;;59.8;225.0;;;;3.0;2.6;4.1;Night time/Nessun fenomeno;3.4;;;;;0.0;0.0;;;;;;;;;
10/02/2021 20:35:00;10/02/2021;20:35:00;0.0;180;1000.5;17.1;0.0;4.2;0.88;;;3.4557235421166306;2.4;;;;;;59.8;225.0;;;;3.1;2.6;4.2;Night time/Nessun fenomeno;3.4;;;;;0.0;0.0;;;;;;;;;
10/02/2021 20:40:00;10/02/2021;20:40:00;0.0;180;1000.6;17.1;0.0;4.1;0.88;;;3.4557235421166306;2.3;;;;;;59.8;225.0;;;;3.0;2.6;4.1;Night time/Nessun fenomeno;3.4;;;;;0.0;0.0;;;;;;;;;
10/02/2021 20:45:00;10/02/2021;20:45:00;0.0;180;1000.6;17.1;0.0;4.2;0.88;;;3.4557235421166306;2.4;;;;;;59.8;225.0;;;;3.1;2.6;4.2;Night time/Nessun fenomeno;3.4;;;;;0.0;0.0;;;;;;;;;
10/02/2021 20:50:00;10/02/2021;20:50:00;0.0;180;1000.8;17.1;0.0;4.1;0.88;;;3.4557235421166306;2.3;;;;;;59.8;225.0;;;;3.0;2.6;4.1;Night time/Nessun fenomeno;3.4;;;;;0.0;0.0;;;;;;;;;
10/02/2021 20:55:00;10/02/2021;20:55:00;0.0;180;1000.8;17.1;0.0;4.1;0.88;;;3.4557235421166306;2.2;;;;;;59.8;225.0;;;;3.0;2.5;4.1;Night time/Nessun fenomeno;3.3;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:00:00;10/02/2021;21:00:00;0.0;180;1000.8;17.1;0.0;4.0;0.88;;;0.8639308855291576;2.2;;;;;;59.8;225.0;;;;2.9;2.4;4.0;Night time/Nessun fenomeno;3.3;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:05:00;10/02/2021;21:05:00;0.0;180;1000.9;17.1;0.0;4.0;0.88;;;0.0;2.2;;;;;;59.8;225.0;;;;2.9;2.4;4.0;Night time/Nessun fenomeno;3.3;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:10:00;10/02/2021;21:10:00;0.0;180;1001.0;17.1;0.0;3.9;0.88;;;0.0;2.1;;;;;;59.8;225.0;;;;2.8;2.3;3.9;Night time/Nessun fenomeno;3.2;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:20:00;10/02/2021;21:20:00;0.0;180;1001.2;17.1;0.0;3.7;0.88;;;0.0;1.9;;;;;;59.8;225.0;;;;2.6;2.1;3.7;Night time/Nessun fenomeno;3.0;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:25:00;10/02/2021;21:25:00;0.0;180;1001.2;17.1;0.0;3.8;0.88;;;0.0;2.0;;;;;;59.8;225.0;;;;2.6;2.1;3.8;Night time/Nessun fenomeno;3.1;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:30:00;10/02/2021;21:30:00;0.0;180;1001.4;17.1;0.0;3.6;0.88;;;0.0;1.8;;;;;;59.8;225.0;;;;2.4;1.9;3.6;Night time/Nessun fenomeno;2.9;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:35:00;10/02/2021;21:35:00;0.0;180;1001.6;17.1;0.0;3.6;0.88;;;0.0;1.8;;;;;;59.8;225.0;;;;2.4;1.9;3.6;Night time/Nessun fenomeno;2.9;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:40:00;10/02/2021;21:40:00;0.0;180;1001.6;17.1;0.0;3.7;0.88;;;0.0;1.9;;;;;;59.8;225.0;;;;2.6;2.1;3.7;Night time/Nessun fenomeno;3.0;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:45:00;10/02/2021;21:45:00;0.0;180;1001.7;17.1;0.0;3.7;0.88;;;0.0;1.9;;;;;;59.8;225.0;;;;2.6;2.1;3.7;Night time/Nessun fenomeno;3.0;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:50:00;10/02/2021;21:50:00;0.0;180;1001.8;17.1;0.0;3.8;0.88;;;0.0;2.0;;;;;;59.8;225.0;;;;2.7;2.2;3.8;Night time/Nessun fenomeno;3.1;;;;;0.0;0.0;;;;;;;;;
10/02/2021 21:55:00;10/02/2021;21:55:00;0.0;180;1001.9;17.1;0.0;3.7;0.88;;;0.0;1.9;;;;;;59.8;225.0;;;;2.6;2.1;3.7;Night time/Nessun fenomeno;3.0;;;;;0.0;0.0;;;;;;;;;
